Middle layer Super Output Areas Code,Middle layer Super Output Areas,Welsh speaking ability (3 categories) Code,Welsh speaking ability (3 categories),Observation,Total,Totalp
W02000387,Cardiff 021,1,Can speak Welsh,677,5906,11.46291907
W02000388,Cardiff 022,1,Can speak Welsh,500,5799,8.622176237
W02000389,Cardiff 023,1,Can speak Welsh,1084,8425,12.86646884
W02000390,Cardiff 024,1,Can speak Welsh,819,6238,13.12920808
W02000391,Cardiff 025,1,Can speak Welsh,1161,9415,12.33138609
W02000392,Cardiff 026,1,Can speak Welsh,1553,8776,17.69598906
W02000393,Cardiff 027,1,Can speak Welsh,654,6641,9.847914471
W02000394,Cardiff 028,1,Can speak Welsh,1044,9568,10.91137124
W02000395,Cardiff 029,1,Can speak Welsh,933,6674,13.97962242
W02000396,Cardiff 030,1,Can speak Welsh,907,7517,12.06598377
W02000397,Cardiff 031,1,Can speak Welsh,722,6425,11.23735409
W02000398,Cardiff 032,1,Can speak Welsh,1063,12253,8.675426426
W02000399,Cardiff 033,1,Can speak Welsh,1010,10761,9.385744819
W02000400,Cardiff 034,1,Can speak Welsh,1409,6294,22.38639975
W02000401,Cardiff 035,1,Can speak Welsh,1651,5937,27.80865757
W02000402,Cardiff 036,1,Can speak Welsh,839,11609,7.227151348
W02000403,Cardiff 037,1,Can speak Welsh,717,7789,9.205289511
W02000404,Cardiff 038,1,Can speak Welsh,628,6352,9.886649874
W02000405,Cardiff 039,1,Can speak Welsh,580,7810,7.42637644
W02000406,Cardiff 040,1,Can speak Welsh,2078,10200,20.37254902
W02000407,Cardiff 041,1,Can speak Welsh,549,6643,8.264338401
W02000408,Cardiff 042,1,Can speak Welsh,669,7461,8.966626458
W02000409,Cardiff 043,1,Can speak Welsh,505,6074,8.314125782
W02000410,Cardiff 044,1,Can speak Welsh,954,8652,11.02635229
W02000411,Cardiff 045,1,Can speak Welsh,635,6596,9.627046695
W02000412,Cardiff 046,1,Can speak Welsh,776,6874,11.28891475
W02000414,Powys 020,1,Can speak Welsh,963,5987,16.08485051
W02000415,Merthyr Tydfil 008,1,Can speak Welsh,519,9358,5.54605685
W02000416,Powys 021,1,Can speak Welsh,3180,10349,30.72760653
W02000417,Neath Port Talbot 020,1,Can speak Welsh,4076,10179,40.04322625
W02000418,Carmarthenshire 027,1,Can speak Welsh,4591,12255,37.4622603
W02000419,Denbighshire 017,1,Can speak Welsh,1674,11361,14.73461843
W02000421,Ceredigion 011,1,Can speak Welsh,5813,11486,50.60943758
W02000422,Cardiff 048,1,Can speak Welsh,746,7388,10.09745533
W02000423,Cardiff 049,1,Can speak Welsh,773,10032,7.705342903
W02000424,Wrexham 021,1,Can speak Welsh,646,6682,9.667764142
W02000425,Wrexham 022,1,Can speak Welsh,691,8345,8.28040743
W02000426,Wrexham 023,1,Can speak Welsh,995,9895,10.05558363
W02000427,Neath Port Talbot 021,1,Can speak Welsh,937,11145,8.407357559
W02000428,Swansea 032,1,Can speak Welsh,885,10502,8.426966292
