Middle layer Super Output Areas Code,Middle layer Super Output Areas,Welsh speaking ability (3 categories) Code,Welsh speaking ability (3 categories),Observation,Total,Totalp
W02000093,Wrexham 016,1,Can speak Welsh,774,6553,11.8113841
W02000094,Wrexham 017,1,Can speak Welsh,972,8899,10.92257557
W02000095,Wrexham 018,1,Can speak Welsh,497,6387,7.781431032
W02000096,Wrexham 019,1,Can speak Welsh,992,6461,15.35366042
W02000097,Powys 001,1,Can speak Welsh,2633,9309,28.2844559
W02000098,Powys 002,1,Can speak Welsh,704,6262,11.24241456
W02000099,Powys 003,1,Can speak Welsh,727,6639,10.95044434
W02000100,Powys 004,1,Can speak Welsh,2960,6210,47.66505636
W02000101,Powys 005,1,Can speak Welsh,538,5534,9.721720275
W02000102,Powys 006,1,Can speak Welsh,1554,6151,25.26418469
W02000103,Powys 007,1,Can speak Welsh,527,5790,9.101899827
W02000104,Powys 008,1,Can speak Welsh,754,6198,12.16521459
W02000105,Powys 009,1,Can speak Welsh,593,5166,11.4789005
W02000106,Powys 010,1,Can speak Welsh,1084,6491,16.70004622
W02000107,Powys 011,1,Can speak Welsh,664,9778,6.790754756
W02000108,Powys 012,1,Can speak Welsh,739,7212,10.24681087
W02000109,Powys 013,1,Can speak Welsh,567,5598,10.12861736
W02000110,Powys 014,1,Can speak Welsh,901,6840,13.17251462
W02000111,Powys 015,1,Can speak Welsh,692,8461,8.178702281
W02000113,Powys 017,1,Can speak Welsh,876,8256,10.61046512
W02000114,Powys 018,1,Can speak Welsh,703,6942,10.12676462
W02000116,Ceredigion 001,1,Can speak Welsh,3570,7362,48.49225754
W02000117,Ceredigion 002,1,Can speak Welsh,2269,8974,25.28415422
W02000118,Ceredigion 003,1,Can speak Welsh,2078,6459,32.17216287
W02000120,Ceredigion 005,1,Can speak Welsh,3596,7075,50.82685512
W02000122,Ceredigion 007,1,Can speak Welsh,2810,6329,44.39879918
W02000123,Ceredigion 008,1,Can speak Welsh,3737,7673,48.70324515
W02000124,Ceredigion 009,1,Can speak Welsh,4107,8673,47.3538568
W02000125,Ceredigion 010,1,Can speak Welsh,3698,7446,49.66424926
